Project #,Unnamed: 1,CSI Div,CSI Description,Sub-Group,Item,Make,Model,Unnamed: 8,OM,OM_Count,Warranty,Warranty_Count,Submittals,Submittals_Count,Unnamed: 15,General vs Fixed-Asset,Asset Tag #,FA Tag #,Unnamed: 19,Building,Fusion #,Floor,Room,Latitude,Longitide,Unnamed: 26,O&M Binder #,Warranty Start,Warranty Duration,Warranty Expires,Unnamed: 31,Item a Consumable ?,Unnamed: 33,Recommend Indiv item Tracking?,Currently Indiv item tracked?,Unnamed: 36,Recommend Waldrop ID Tag?,Currently Waldrop ID Tag?,Contractor,Contract,sheet
11110,,5,Metals,,Misc Metal,,,,Yes,1,Yes,1,Yes,1,,,,,,,,,,,,,,,,,,No,,No,No,,No,No,,,11110
11110,,6,"Wood, Plastics, etc.",,Casework / Shelving / Counters,,,,Yes,1,Yes,1,Yes,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11110
11110,,7,Thermal/Moisture-Protect,,Composite Metal Panel,,,,No,1,No,1,No,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11110
11110,,7,Thermal/Moisture-Protect,,Rain Screen System,,,,No,1,No,1,No,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11110
11110,,7,Thermal/Moisture-Protect,,Roof Accessories (i.e roof ladder; roof hatch),,,,N A,1,N A,1,N A,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11110
11110,,7,Thermal/Moisture-Protect,,Roofing (PVC) and other,,,,N A,1,N A,1,N A,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11110
11110,,7,Thermal/Moisture-Protect,,Waterproofing (Other),,,,OK,1,OK,1,OK,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11110
11110,,7,Thermal/Moisture-Protect,,Roof Walking Pad,,,,OK,1,OK,1,OK,1,,,,,,,,,,,,,,,,,,No,,No,No,,No,No,,,11110
11110,,7,Thermal/Moisture-Protect,,Solar Glass (see Solar Panels),,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,No,No,,No,No,,,11110
11110,,8,Openings,,Access Door,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11110
11110,,8,Openings,,Curtain Wall Exterior Window System,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11110
11110,,8,Openings,,Doors,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11110
11110,,8,Openings,,Hardware - panic devices,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11110
11110,,8,Openings,,Overhead coiling doors,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11110
11110,,8,Openings,,SolarTubes (Operable and not operable),,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11110
11110,,8,Openings,,Windows / Glazing,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11110
11110,,8,Openings,,Door Hardware - related to FLS; panic hardware/ elec door holdopens / (see also ADA access buttons),,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,?,,No,No,,,11110
11110,,9,Finishes,,Paint (use for take-off SF estimates of paint?? - planning),,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,Yes,,Yes,No,,No,No,,,11110
11110,,9,Finishes,,Anti-Graffiti Coating,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,Yes,,No,No,,No,No,,,11110
11110,,9,Finishes,,Acoustic Panel Ceiling,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11110
11110,,9,Finishes,,Flooring - carpet,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,no,,,11110
11110,,9,Finishes,,Flooring - other,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11110
11110,,9,Finishes,,Flooring - vct,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11110
11110,,9,Finishes,,Wall covering (fabric vs frp etc) - track manufacturer,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11110
11110,,10,Specialties,Restroom,Paper Towel Dispenser,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,Yes,,No,No,,No,No,,,11110
11110,,10,Specialties,Restroom,Soap Dispenser,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,Yes,,No,No,,No,No,,,11110
11110,,10,Specialties,Restroom,Toilet Paper Dispenser,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,Yes,,No,No,,No,No,,,11110
11110,,10,Specialties,Restroom,Toilet Seat Cover Dispenser,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,Yes,,No,No,,No,No,,,11110
11110,,10,Specialties,Restroom,Elec Hand Dryer,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11110
11110,,10,Specialties,Restroom,Sanitary Napkin/Tampon Dispenser,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11110
11110,,10,Specialties,Restroom,Toilet & Urinal Compartments / Bathroom Stalls,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11110
11110,,10,Specialties,Restroom,Baby Changing Apparatus in Bathroom,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11110
11110,,10,Specialties,Restroom,ADA Bathroom Grab Bars,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,No,No,,No,No,,,11110
11110,,10,Specialties,Restroom,Bathroom trash can (recessed),,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,No,No,,No,No,,,11110
11110,,10,Specialties,Restroom,Mirror,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,No,No,,No,No,,,11110
11110,,10,Specialties,,Tack Board - small,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,Yes,,No,No,,No,No,,,11110
11110,,10,Specialties,,White Boards - small,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,Yes,,No,No,,No,No,,,11110
11110,,10,Specialties,,Fire Extinguishers /FE Cabinets,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,Yes,,Yes,No,,,11110
11110,,10,Specialties,,Modular Office Walls,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,Yes,,Yes,Yes,,,11110
11110,,10,Specialties,,Fire Curtain / Fire Wall,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,Yes,,No,Yes,,,11110
11110,,10,Specialties,,Defibrillator Cabinets,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11110
11110,,10,Specialties,,Display Case (i.e. Recessed Display Case / Lockable),,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11110
11110,,10,Specialties,,Operable Wall,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,Yes,,,11110
11110,,10,Specialties,,Signage - Egress,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11110
11110,,10,Specialties,,Tack Board - large,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11110
11110,,10,Specialties,,White Boards - large,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11110
11110,,10,Specialties,,Parking Signage (incl ADA),,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,?,,No,No,,,11110
11110,,10,Specialties,,Emergency Key Cabinets (i.e. Knox-Box),,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,?,,No,No,,,11110
11110,,10,Specialties,,Corner Guard / Wall Guard,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,No,No,,No,No,,,11110
11110,,10,Specialties,,Locker room benches,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,No,No,,No,No,,,11110
11110,,10,Specialties,,Signage - Directional,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,No,No,,No,No,,,11110
11110,,10,Specialties,,Signage - Rooms,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,No,No,,No,No,,,11110
11110,,11,Equipment,Classroom,Fixed Projection Screens (motorized and manual),,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,?,,No,No,,,11110
11110,,11,Equipment,Food-Service,Glove dispesner,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,Yes,,No,No,,No,No,,,11110
11110,,11,Equipment,Food-Service,Coffee Maker (i.e. Airpot; Expresso Machine/Grinder),,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,Yes,,Yes,Yes,,,11110
