P,Campus,Proj #,Project Description,DSA_Cert,DSA_Cert_Count,LEED Cert Recd?,Photos in SP?,GIS Updated?,Minutes on File?,Soils Report on File?,Record Dwgs on File?,BIM on file?,Commissioning Report on File?,DSA #,LEED Cert Target,LEED Cert Received Year,LEED Documentation Letter/Plaque Up?,# Photos in SP,Minutes CM13 vs SP,,Labor Warranties Filed / Logged?,Equip O&M's and Warranties Filed / Logged?,Hard-Copy O&M / Warranty Locations,Record BIM Model Received?,Record As-Builts Doc's Logged (w/ specs),Hard-Copy Record/As-Built Location,COBiE Info Captured?,CM13 Contracts in SharePoint,CM13 CO's in SharePoint,CO's + CCD's in SharePoint,Evidence of Scope Changes to DSA,Minutes in SharePoint (move from CM13??),Photos in SharePoint,Have Items Been transferred to Facilities EDMS,IOR (and DSABox) records in SP,All NOC's in SP (and final releases?),Financial Close-out?,Lessons Learned?,"Maint info ID'd (ie Perm BMPs, SF)",Incorporated into Campus Security Plan,RFIs (move from CM13 to SP?),Submittals?,Project Budget,,Construction Complete?,Date Construction Complete,,S - Ballot Reference #,N - Ballot Reference #,On Both Ballots,,,Proj #
N,City,11110,Humanities Building,Yes,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-110503,Gold,,,,,,,,,,,City: 008-011; 088; 094-095; 097,,75%,,,,,,,,,,,,,,,"$92,478,598 ",1,Yes,Apr-14 A,1,S.I.2,N.II.1,x,,,11110
N,City,11240,Business Technology Building,Yes,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-110503,Gold,,,,,,,,,,,City: 008-011; 088; 094-095; 097,,,,,,,,,,,,,,,,,"$2,151,675 ",1,Yes,Apr-14 A,1,S.I.3,N.I.3,x,,,11240
N,City,11250,"Engineering Technology Building (""T"" Building)",TBD,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,? 04-100128,combined-adt,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$34,722,953 ",0,Design/Bid,18-Jul,,S.I.1,N.I.2,x,,,11250
N,City,11260,Science Building,No,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-111042,Silver,,,,,,,,,,,City-062; 087; 089-090,,,,,,,,,,,,,,,,,"$57,408,094 ",1,Yes,Aug-13 A,1,S.IV (?),N.I.1,x,,,11260
N,City,11310,"""M"" Classroom Building",Yes,1,Yes,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-112843,Silver,15-Mar,,,,,,,"City: 21, 22, 23, 24, 26",,,City-015-016,,Yes,,reqest to TF 6/17/2015,,Yes,88,,No,,,,,,,,"$9,594,000 ",1,Yes,Nov-14 A,1,S.IV.1,N.III.3,x,,,11310
N,City,11320,"""D"" Building Roof",TBD,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,N/A,combined-adt,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,817,050 ",0,Design/Bid,18-Jul,,S.VI,N.III.4,x,,,11320
N,City,11330,"""A"" Building Renovation",TBD,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,N/A,combined-adt,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,605,847 ",1,Design/Bid,18-Jul,,S.IV.1,N.III.1,x,,,11330
N,City,11340,"Language/Speech/Visual Arts (""C"" Building)",No,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-112710,Silver,,,,,,,,,,,City-063-067; 083,,,,,,,,,,,,,,,,,"$21,128,910 ",1,Construction,15-Oct,,S.V,N.III.2,x,,,11340
N,City,11430,Infrastructure - Central Plant/Sewer & Storm Drain/Data & IT Projects,Yes,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-110878; 04-111010; 04-111216,,,,,,,,,"City: 2, 28",,,City-022,,,,,,,,,,,,,,,,,"$19,542,870 ",1,Ongoing,Feb-12 A,1,S.VI,N.IV.1,x,,,11430
N,Mesa,12110,Math and Science Building,Yes,1,Yes,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-111098,Silver,14-Nov,,,,,,,"Mesa: 8, 11, 12, 20, 21, 22, 23, 24",,,,,,,,,,,,,,,,,,,,"$106,307,816 ",1,Yes,Aug-13 A,1,S.I.2,N.I.1,x,,,12111; 12110
N,Mesa,12120,Center for Business and Technology,N/A,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,394,394 ",1,Design/Bid,17-Oct,,N/A,N.I.2,,,,12120
N,Mesa,12290,LRC Language Labs,Yes,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-112665,,,,,,,,,,,,Mesa-024; 030,,,,,,,,,,,,,,,,,"$2,513,000 ",1,Yes,Aug-13 A,1,N/A,N/A,,1,,12290
N,Mesa,12420,Cafeteria and Bookstore / Stockroom,No,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-112803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$44,347,083 ",1,Construction,16-Jan,,N/A,N.II.2,,,,12420
N,Mesa,12520,Fine Arts and Dramatic Arts,N/A,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,569,538 ",1,Design/Bid,18-May,,N/A,N.I.3,,,,12520
N,Mesa,12530,Temporary Parking/All Weather Track/Stadium Restroom,Yes,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-110315; 04-111790; 04-111971,,,,,,,,,Mesa: 19,,,Mesa-031,,,,,,,,,,,,,,,,,"$8,328,634 ",1,Yes,Aug-12 A,1,N/A,N/A,,1,,12530; 12531; 12535
