Project#,ProjectName,Campus,Building,Fusion#,Floor,Room,RoomName,Latitude,Longitide,GeneralvsFixed,AssetIDNo,FAIDNo,Make,Model,SerialNo,CSI Div,CSI,SubGroup01,SubGroup02,SubGroup03,SubGroup04,Item,ClassPriority,ClassCompliance,ClassInterconnect,ClassWarranty,ClassCondition,ClassBlanket,Takeoff,Callout,Sheet,OM,OMBinderNo,OMTabNo,OMDigital,Submittal,SubmittalDigital,EqWarranty,EqWarrantyDigital,EqWarrantyDuration,EqWarrantyStarts,EqWarrantyExpires,LifeCycleDuration,LifeCycleExpires,ServiceContract,ServiceContractCo,DistrictResponsible,OrigContractor,OrigContract,CostEstimateatStart,Unnamed: 51,Unnamed: 52,Item a Consumable ?,Unnamed: 54,Recommend Indiv item Tracking?,Currently Indiv item tracked?,Unnamed: 57,Recommend Waldrop ID Tag?,Currently Waldrop ID Tag?,sheet
11110,,City,,,,,,,,,,,,,,7,07-Thermal/Moisture-Protect,,,,,Composite Metal Panel,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,7,07-Thermal/Moisture-Protect,,,,,Rain Screen System,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,7,07-Thermal/Moisture-Protect,,,,,Roof Accessories (i.e roof ladder; roof hatch),,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,7,07-Thermal/Moisture-Protect,,,,,Roofing (PVC) and other,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,7,07-Thermal/Moisture-Protect,,,,,Waterproofing (Other),,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,7,07-Thermal/Moisture-Protect,,,,,Roof Walking Pad,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,No,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,7,07-Thermal/Moisture-Protect,,,,,Solar Glass (see Solar Panels),,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,No,No,,No,No,11110
11220,Career Technology Center,City,Voc Tech,24.0,,,,,,,,,,,,7,07-Thermal/Moisture-Protect,,,,,Composite Metal Panel,,,,,,,No,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11220
11220,Career Technology Center,City,Voc Tech,24.0,,,,,,,,,,,,7,07-Thermal/Moisture-Protect,,,,,Rain Screen System,,,,,,,No,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11220
11220,Career Technology Center,City,Voc Tech,24.0,,,,,,,,,,,,7,07-Thermal/Moisture-Protect,,,,,Roof Accessories (i.e roof ladder; roof hatch),,,,,,,No,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11220
