AssetIDNo,Building,CSI,CSI Div,Callout,Campus,ClassBlanket,ClassCompliance,ClassCondition,ClassInterconnect,ClassPriority,ClassWarranty,CostEstimateatStart,Currently Indiv item tracked?,Currently Waldrop ID Tag?,DistrictResponsible,EqWarranty,EqWarrantyDigital,EqWarrantyDuration,EqWarrantyExpires,EqWarrantyStarts,FAIDNo,Floor,Fusion#,GeneralvsFixed,Item,Item a Consumable ?,Latitude,LifeCycleDuration,LifeCycleExpires,Longitide,Make,Model,OM,OMBinderNo,OMDigital,OMTabNo,OrigContract,OrigContractor,Project,Project#,ProjectName,Recommend Indiv item Tracking?,Recommend Waldrop ID Tag?,Room,RoomName,SerialNo,ServiceContract,ServiceContractCo,Sheet,SubGroup01,SubGroup02,SubGroup03,SubGroup04,Submittal,SubmittalDigital,Takeoff,Unnamed: 51,Unnamed: 52,Unnamed: 54,Unnamed: 57,sheet
,,11-Equipment,11,,City,,,,,,,,?,No,,TBD,,,,,,,,,Fixed Projection Screens (motorized and manual),No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,Classroom,,,,TBD,,,,,,,11110
,,11-Equipment,11,,City,,,,,,,,No,No,,TBD,,,,,,,,,Glove dispesner,Yes,,,,,,,TBD,,,,,,,11110.0,,No,No,,,,,,,Food-Service,,,,TBD,,,,,,,11110
,,11-Equipment,11,,City,,,,,,,,Yes,Yes,,TBD,,,,,,,,,Coffee Maker (i.e. Airpot; Expresso Machine/Grinder),No,,,,,,,TBD,,,,,,,11110.0,,Yes,Yes,,,,,,,Food-Service,,,,TBD,,,,,,,11110
,,11-Equipment,11,,City,,,,,,,,Yes,Yes,,TBD,,,,,,,,,Dishwasher,No,,,,,,,TBD,,,,,,,11110.0,,Yes,Yes,,,,,,,Food-Service,,,,TBD,,,,,,,11110
,,11-Equipment,11,,City,,,,,,,,Yes,Yes,,TBD,,,,,,,,,Food Service Equipment (Other / Specialized),No,,,,,,,TBD,,,,,,,11110.0,,Yes,Yes,,,,,,,Food-Service,,,,TBD,,,,,,,11110
,,11-Equipment,11,,City,,,,,,,,Yes,Yes,,TBD,,,,,,,,,Freezer / Walk-in Cooler -- Fixed,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,Food-Service,,,,TBD,,,,,,,11110
,,11-Equipment,11,,City,,,,,,,,Yes,Yes,,TBD,,,,,,,,,Freezer / Walk-in Cooler -- Non-Fixed,No,,,,,,,TBD,,,,,,,11110.0,,Yes,Yes,,,,,,,Food-Service,,,,TBD,,,,,,,11110
,,11-Equipment,11,,City,,,,,,,,Yes,Yes,,TBD,,,,,,,,,Ice Maker,No,,,,,,,TBD,,,,,,,11110.0,,Yes,Yes,,,,,,,Food-Service,,,,TBD,,,,,,,11110
,,11-Equipment,11,,City,,,,,,,,Yes,Yes,,TBD,,,,,,,,,Microwave,No,,,,,,,TBD,,,,,,,11110.0,,Yes,Yes,,,,,,,Food-Service,,,,TBD,,,,,,,11110
,,11-Equipment,11,,City,,,,,,,,Yes,Yes,,TBD,,,,,,,,,Mixer/Blender,No,,,,,,,TBD,,,,,,,11110.0,,Yes,Yes,,,,,,,Food-Service,,,,TBD,,,,,,,11110
