AssetIDNo,Building,CSI,CSI Div,Callout,Campus,ClassBlanket,ClassCompliance,ClassCondition,ClassInterconnect,ClassPriority,ClassWarranty,CostEstimateatStart,Currently Indiv item tracked?,Currently Waldrop ID Tag?,DistrictResponsible,EqWarranty,EqWarrantyDigital,EqWarrantyDuration,EqWarrantyExpires,EqWarrantyStarts,FAIDNo,Floor,Fusion#,GeneralvsFixed,Item,Item a Consumable ?,Latitude,LifeCycleDuration,LifeCycleExpires,Longitide,Make,Model,OM,OMBinderNo,OMDigital,OMTabNo,OrigContract,OrigContractor,Project,Project#,ProjectName,Recommend Indiv item Tracking?,Recommend Waldrop ID Tag?,Room,RoomName,SerialNo,ServiceContract,ServiceContractCo,Sheet,SubGroup01,SubGroup02,SubGroup03,SubGroup04,Submittal,SubmittalDigital,Takeoff,Unnamed: 51,Unnamed: 52,Unnamed: 54,Unnamed: 57,sheet
,,23-HVAC,23,,City,,,,,,,,Yes,No,,TBD,,,,,,,,,Filters,Yes,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,23-HVAC,23,,City,,,,,,,,Yes,No,,TBD,,,,,,,,,AH - Air Handling Unit - see AHU Schedule,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,23-HVAC,23,,City,,,,,,,,Yes,No,,TBD,,,,,,,,,Air Cooled Chiller - CH,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,23-HVAC,23,,City,,,,,,,,Yes,No,,TBD,,,,,,,,,Air Separator Schedule - AS,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,23-HVAC,23,,City,,,,,,,,Yes,No,,TBD,,,,,,,,,Chilled Water Pump,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,23-HVAC,23,,City,,,,,,,,Yes,No,,TBD,,,,,,,,,Condensing Unit,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,23-HVAC,23,,City,,,,,,,,Yes,No,,TBD,,,,,,,,,Controls Panel,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,23-HVAC,23,,City,,,,,,,,Yes,No,,TBD,,,,,,,,,CWST (ST) - Chilled Water Storage Tank,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,23-HVAC,23,,City,,,,,,,,Yes,No,,TBD,,,,,,,,,Exhast Fan - EF,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,23-HVAC,23,,City,,,,,,,,Yes,No,,TBD,,,,,,,,,Expansion Tank - ET,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,23-HVAC,23,,City,,,,,,,,Yes,No,,TBD,,,,,,,,,Hot Water Pump,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,23-HVAC,23,,City,,,,,,,,Yes,No,,TBD,,,,,,,,,Sensor,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,23-HVAC,23,,City,,,,,,,,Yes,No,,TBD,,,,,,,,,Split System - CU (Outside),No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,23-HVAC,23,,City,,,,,,,,Yes,No,,TBD,,,,,,,,,Split System - FC (Inside),No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,23-HVAC,23,,City,,,,,,,,Yes,No,,TBD,,,,,,,,,Thermostats,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,23-HVAC,23,,City,,,,,,,,Yes,No,,TBD,,,,,,,,,VAV - Variable Air Volume Terminal Schedule,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,23-HVAC,23,,City,,,,,,,,Yes,No,,TBD,,,,,,,,,Volume Damper,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,23-HVAC,23,,City,,,,,,,,No,No,,TBD,,,,,,,,,Operable Gate in Mechanical Screen,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,23-HVAC,23,,City,,,,,,,,No,No,,TBD,,,,,,,,,Performance Cert of Compliance Data - HVAC Zones -- See 04-110817 Mech Sheets,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,23-HVAC,23,,City,,,,,,,,No,No,,TBD,,,,,,,,,Cert of Compliance Data - Energy Checklist - Opaque Surfaces -- See 04-110817 Mech Sheets,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,23-HVAC,23,,City,,,,,,,,?,No,,TBD,,,,,,,,,Diffusers - Exhaust Air,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,23-HVAC,23,,City,,,,,,,,?,No,,TBD,,,,,,,,,Diffusers - Return Air,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,23-HVAC,23,,City,,,,,,,,?,No,,TBD,,,,,,,,,Diffusers - Supply Air,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,23-HVAC,23,,City,,,,,,,,?,No,,TBD,,,,,,,,,Fire Smoke Dampers,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,23-HVAC,23,,City,,,,,,,,No,No,,TBD,,,,,,,,,Roof Curbs,No,,,,,,,TBD,,,,,,,11110.0,,No,No,,,,,,,,,,,TBD,,,,,,,11110
,,23-HVAC,23,,City,,,,,,,,No,No,,TBD,,,,,,,,,Exterior Ductwork,No,,,,,,,TBD,,,,,,,11110.0,,No,No,,,,,,,,,,,TBD,,,,,,,11110
,,23-HVAC,23,,City,,,,,,,,No,No,,TBD,,,,,,,,,Exterior Grilles,No,,,,,,,TBD,,,,,,,11110.0,,No,No,,,,,,,,,,,TBD,,,,,,,11110
,Voc Tech,23-HVAC,23,,City,,,,,,,,Yes,No,,TBD,,,,,,,24.0,,Filters,Yes,,,,,,,TBD,,,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,,No,,,,,11220
