Asset Tag #,Building,CSI,CSI Div,Callout,Contract,Contractor,Currently Indiv item tracked?,Currently Waldrop ID Tag?,FA Tag #,Floor,Fusion #,General vs Fixed-Asset,Item,Item a Consumable ?,Latitude,Longitide,Make,Model,O&M Binder #,OM,OM_Count,Project #,Recommend Indiv item Tracking?,Recommend Waldrop ID Tag?,Room,Sub-Group,Submittals,Submittals_Count,Unnamed: 1,Unnamed: 16,Unnamed: 20,Unnamed: 27,Unnamed: 32,Unnamed: 34,Unnamed: 37,Unnamed: 9,Warranty,Warranty Duration,Warranty Expires,Warranty Start,Warranty_Count,sheet
,,45-Industry,45,,,,Yes,Yes,,,,,Equipment - Science - Chemistry,No,,,,,,TBD,1.0,11110.0,Yes,Yes,,Science,TBD,1.0,,,,,,,,,TBD,,,,1.0,11110
,,45-Industry,45,,,,Yes,Yes,,,,,Equipment - Science - Other,No,,,,,,TBD,1.0,11110.0,Yes,Yes,,Science,TBD,1.0,,,,,,,,,TBD,,,,1.0,11110
,,45-Industry,45,,,,Yes,Yes,,,,,Equipment - Science - Astronomy,No,,,,,,TBD,1.0,11110.0,Yes,Yes,,Science,TBD,1.0,,,,,,,,,TBD,,,,1.0,11110
,,45-Industry,45,,,,Yes,Yes,,,,,Equipment - Science - Biology,No,,,,,,TBD,1.0,11110.0,Yes,Yes,,Science,TBD,1.0,,,,,,,,,TBD,,,,1.0,11110
,,45-Industry,45,,,,?,No,,,,,Equipment - Science - Cadaver / Equip,No,,,,,,TBD,1.0,11110.0,Yes,Yes,,Science,TBD,1.0,,,,,,,,,TBD,,,,1.0,11110
,,45-Industry,45,,,,Yes,No,,,,,Fume Hoods,No,,,,,,TBD,1.0,11110.0,Yes,Yes,,,TBD,1.0,,,,,,,,,TBD,,,,1.0,11110
,,45-Industry,45,,,,Yes,Yes,,,,,Equipment - Sewing,No,,,,,,TBD,1.0,11110.0,Yes,Yes,,,TBD,1.0,,,,,,,,,TBD,,,,1.0,11110
,,45-Industry,45,,,,Yes,Yes,,,,,Equipment - Auto,No,,,,,,TBD,1.0,11110.0,Yes,Yes,,,TBD,1.0,,,,,,,,,TBD,,,,1.0,11110
,,45-Industry,45,,,,Yes,Yes,,,,,Equipment - Educational Electrical,No,,,,,,TBD,1.0,11110.0,Yes,Yes,,,TBD,1.0,,,,,,,,,TBD,,,,1.0,11110
,,45-Industry,45,,,,Yes,Yes,,,,,Equipment - Educational HVAC,No,,,,,,TBD,1.0,11110.0,Yes,Yes,,,TBD,1.0,,,,,,,,,TBD,,,,1.0,11110
,,45-Industry,45,,,,Yes,Yes,,,,,Equipment - Educational IT/GIS,No,,,,,,TBD,1.0,11110.0,Yes,Yes,,,TBD,1.0,,,,,,,,,TBD,,,,1.0,11110
