AssetIDNo,Building,CSI,CSI Div,CSIDiv,Callout,Campus,ClassBlanket,ClassCompliance,ClassCondition,ClassInterconnect,ClassPriority,ClassWarranty,CostEstimateatStart,Currently Indiv item tracked?,Currently Waldrop ID Tag?,DistrictResponsible,EqWarranty,EqWarrantyDigital,EqWarrantyDuration,EqWarrantyExpires,EqWarrantyStarts,FAIDNo,Floor,Fusion#,GeneralvsFixed,Item,Item a Consumable ?,Latitude,LifeCycleDuration,LifeCycleExpires,Longitide,Make,Model,OM,OMBinderNo,OMDigital,OMTabNo,OrigContract,OrigContractor,Project,Project#,ProjectName,Recommend Indiv item Tracking?,Recommend Waldrop ID Tag?,Room,RoomName,SerialNo,ServiceContract,ServiceContractCo,Sheet,SubGroup01,SubGroup02,SubGroup03,SubGroup04,Submittal,SubmittalDigital,Takeoff,Unnamed: 51,Unnamed: 52,Unnamed: 54,Unnamed: 57,sheet
,Voc Tech,05-Metals,,5,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Misc Metal,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,No,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,"06-Wood, Plastics, etc.",,6,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Casework / Shelving / Counters,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,07-Thermal/Moisture-Protect,,7,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Composite Metal Panel,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,07-Thermal/Moisture-Protect,,7,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Rain Screen System,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,07-Thermal/Moisture-Protect,,7,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Roof Accessories (i.e roof ladder; roof hatch),No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,07-Thermal/Moisture-Protect,,7,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Roofing (PVC) and other,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,07-Thermal/Moisture-Protect,,7,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Waterproofing (Other),No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,07-Thermal/Moisture-Protect,,7,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Roof Walking Pad,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,No,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,07-Thermal/Moisture-Protect,,7,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Solar Glass (see Solar Panels),No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,No,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,08-Openings,,8,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Access Door,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,08-Openings,,8,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Curtain Wall Exterior Window System,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,08-Openings,,8,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Doors,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,08-Openings,,8,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Hardware - panic devices,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,08-Openings,,8,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Overhead coiling doors,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,08-Openings,,8,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: SolarTubes (Operable and not operable),No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,08-Openings,,8,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Windows / Glazing,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,08-Openings,,8,,City,,,,,,,,?,No,,TBD,TBD,,,,,,24.0,,Category: Door Hardware - related to FLS; panic hardware/ elec door holdopens / (see also ADA access buttons),No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,09-Finishes,,9,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Paint (use for take-off SF estimates of paint?? - planning),Yes,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,09-Finishes,,9,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Anti-Graffiti Coating,Yes,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,No,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,09-Finishes,,9,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Acoustic Panel Ceiling,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,09-Finishes,,9,,City,,,,,,,,No,no,,TBD,TBD,,,,,,24.0,,Category: Flooring - carpet,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,09-Finishes,,9,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Flooring - other,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,09-Finishes,,9,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Flooring - vct,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,09-Finishes,,9,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Wall covering (fabric vs frp etc) - track manufacturer,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,10-Specialties,,10,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Paper Towel Dispenser,Yes,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,No,No,,,,,,,Restroom,,,,TBD,TBD,No,,,,,11220
,Voc Tech,10-Specialties,,10,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Soap Dispenser,Yes,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,No,No,,,,,,,Restroom,,,,TBD,TBD,No,,,,,11220
,Voc Tech,10-Specialties,,10,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Toilet Paper Dispenser,Yes,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,No,No,,,,,,,Restroom,,,,TBD,TBD,No,,,,,11220
