Project#,ProjectName,Campus,Building,Fusion#,Floor,Room,RoomName,Latitude,Longitide,GeneralvsFixed,AssetIDNo,FAIDNo,Make,Model,SerialNo,CSI Div,CSI,SubGroup01,SubGroup02,SubGroup03,SubGroup04,Item,ClassPriority,ClassCompliance,ClassInterconnect,ClassWarranty,ClassCondition,ClassBlanket,Takeoff,Callout,Sheet,OM,OMBinderNo,OMTabNo,OMDigital,Submittal,SubmittalDigital,EqWarranty,EqWarrantyDigital,EqWarrantyDuration,EqWarrantyStarts,EqWarrantyExpires,LifeCycleDuration,LifeCycleExpires,ServiceContract,ServiceContractCo,DistrictResponsible,OrigContractor,OrigContract,CostEstimateatStart,Unnamed: 51,Unnamed: 52,Item a Consumable ?,Unnamed: 54,Recommend Indiv item Tracking?,Currently Indiv item tracked?,Unnamed: 57,Recommend Waldrop ID Tag?,Currently Waldrop ID Tag?,sheet
11110,,City,,,,,,,,,,,,,,5,05-Metals,,,,,Misc Metal,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,No,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,6,"06-Wood, Plastics, etc.",,,,,Casework / Shelving / Counters,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,7,07-Thermal/Moisture-Protect,,,,,Composite Metal Panel,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,7,07-Thermal/Moisture-Protect,,,,,Rain Screen System,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,7,07-Thermal/Moisture-Protect,,,,,Roof Accessories (i.e roof ladder; roof hatch),,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,7,07-Thermal/Moisture-Protect,,,,,Roofing (PVC) and other,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,7,07-Thermal/Moisture-Protect,,,,,Waterproofing (Other),,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,7,07-Thermal/Moisture-Protect,,,,,Roof Walking Pad,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,No,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,7,07-Thermal/Moisture-Protect,,,,,Solar Glass (see Solar Panels),,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,No,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,8,08-Openings,,,,,Access Door,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,8,08-Openings,,,,,Curtain Wall Exterior Window System,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,8,08-Openings,,,,,Doors,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,8,08-Openings,,,,,Hardware - panic devices,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,8,08-Openings,,,,,Overhead coiling doors,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,8,08-Openings,,,,,SolarTubes (Operable and not operable),,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,8,08-Openings,,,,,Windows / Glazing,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,8,08-Openings,,,,,Door Hardware - related to FLS; panic hardware/ elec door holdopens / (see also ADA access buttons),,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,?,,No,No,11110
11110,,City,,,,,,,,,,,,,,9,09-Finishes,,,,,Paint (use for take-off SF estimates of paint?? - planning),,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,Yes,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,9,09-Finishes,,,,,Anti-Graffiti Coating,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,Yes,,No,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,9,09-Finishes,,,,,Acoustic Panel Ceiling,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,9,09-Finishes,,,,,Flooring - carpet,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,no,11110
11110,,City,,,,,,,,,,,,,,9,09-Finishes,,,,,Flooring - other,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,9,09-Finishes,,,,,Flooring - vct,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,9,09-Finishes,,,,,Wall covering (fabric vs frp etc) - track manufacturer,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,No,,Yes,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,10,10-Specialties,Restroom,,,,Paper Towel Dispenser,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,Yes,,No,No,,No,No,11110
11110,,City,,,,,,,,,,,,,,10,10-Specialties,Restroom,,,,Soap Dispenser,,,,,,,,,,TBD,,,,TBD,,TBD,,,,,,,,,,,,,,,Yes,,No,No,,No,No,11110
